model,model_type,prompt_tokens,gen_tokens,TTFT_ms,p50_ms,p95_ms,p99_ms,TPOT_tokps
openai/gpt-oss-20b,chat_template,128,64,35.91156005859375,1611.0833883285522,1682.1308135986328,1682.1308135986328,39.72482152071758
openai/gpt-oss-20b,chat_template,128,128,36.066293716430664,3217.732071876526,3362.103223800659,3362.103223800659,39.77958397628029
openai/gpt-oss-20b,chat_template,128,256,36.71383857727051,6405.814051628113,6552.3717403411865,6552.3717403411865,39.96369734752648
openai/gpt-oss-20b,chat_template,512,64,101.22060775756836,1672.9501485824585,1820.2073574066162,1820.2073574066162,38.25577234760864
openai/gpt-oss-20b,chat_template,512,128,102.29635238647461,3280.979633331299,3284.247398376465,3284.247398376465,39.01274057640238
openai/gpt-oss-20b,chat_template,512,256,101.29332542419434,6479.182004928589,6599.464416503906,6599.464416503906,39.51127947319209
openai/gpt-oss-20b,chat_template,1024,64,203.2928466796875,1780.3122997283936,1906.9271087646484,1906.9271087646484,35.9487514389481
openai/gpt-oss-20b,chat_template,1024,128,203.5517692565918,3381.4008235931396,3384.864568710327,3384.864568710327,37.85413752530488
openai/gpt-oss-20b,chat_template,1024,256,204.4374942779541,6569.51630115509,6742.747068405151,6742.747068405151,38.967865524349634
openai/gpt-oss-20b,chat_template,2048,64,475.80862045288086,2056.731104850769,2060.7223510742188,2060.7223510742188,31.11733977893926
openai/gpt-oss-20b,chat_template,2048,128,478.46388816833496,3663.3670330047607,3791.2652492523193,3791.2652492523193,34.94053521029289
openai/gpt-oss-20b,chat_template,2048,256,478.15442085266113,6892.468690872192,7075.800895690918,7075.800895690918,37.14201196987047
